onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
0.01025390625	21.26806640625	artefact	n/a	C26	C26	21.2783203125	21	43578	n/a	n/a	n/a	n/a	n/a	n/a
0.0556640625	21.22265625	artefact	n/a	all	all	21.2783203125	114	43578	n/a	n/a	n/a	n/a	n/a	n/a
82.2021484375	1.99755859375	artefact	n/a	all	all	84.19970703125	168350	172441	n/a	n/a	n/a	n/a	n/a	n/a
147.60595703125	5.50634765625	artefact	n/a	C31	C31	153.1123046875	302297	313574	n/a	n/a	n/a	n/a	n/a	n/a
221.5712890625	2.83203125	artefact	n/a	C18	C18	224.4033203125	453778	459578	n/a	n/a	n/a	n/a	n/a	n/a
509.005859375	8.68603515625	artefact	n/a	all	all	517.69189453125	1042444	1060233	n/a	n/a	n/a	n/a	n/a	n/a
511.57568359375	6.1162109375	artefact	n/a	C26	C26	517.69189453125	1047707	1060233	n/a	n/a	n/a	n/a	n/a	n/a
669.6845703125	8.11962890625	artefact	n/a	all	all	677.80419921875	1371514	1388143	n/a	n/a	n/a	n/a	n/a	n/a
727.3984375	6.140625	artefact	n/a	C11	C11	733.5390625	1489712	1502288	n/a	n/a	n/a	n/a	n/a	n/a
811.5419921875	7.98876953125	artefact	n/a	C58	C58	819.53076171875	1662038	1678399	n/a	n/a	n/a	n/a	n/a	n/a
965.2705078125	6.99951171875	artefact	n/a	all	all	972.27001953125	1976874	1991209	n/a	n/a	n/a	n/a	n/a	n/a
1541.69482421875	4.6103515625	artefact	n/a	C17	C17	1546.30517578125	3157391	3166833	n/a	n/a	n/a	n/a	n/a	n/a
1616.021484375	16.50048828125	artefact	n/a	all	all	1632.52197265625	3309612	3343405	n/a	n/a	n/a	n/a	n/a	n/a
1927.76025390625	14.4208984375	artefact	n/a	all	all	1942.18115234375	3948053	3977587	n/a	n/a	n/a	n/a	n/a	n/a
2021.1806640625	10.07958984375	artefact	n/a	all	all	2031.26025390625	4139378	4160021	n/a	n/a	n/a	n/a	n/a	n/a
2355.65771484375	6.1220703125	artefact	n/a	C11	C11	2361.77978515625	4824387	4836925	n/a	n/a	n/a	n/a	n/a	n/a
2582.2177734375	5.599609375	artefact	n/a	C17	C17	2587.8173828125	5288382	5299850	n/a	n/a	n/a	n/a	n/a	n/a
3013.61376953125	3.28515625	artefact	n/a	C25	C25	3016.89892578125	6171881	6178609	n/a	n/a	n/a	n/a	n/a	n/a
3041.5859375	5.7861328125	artefact	n/a	C58	C58	3047.3720703125	6229168	6241018	n/a	n/a	n/a	n/a	n/a	n/a
3142.0693359375	2.78125	artefact	n/a	C17	C17	3144.8505859375	6434958	6440654	n/a	n/a	n/a	n/a	n/a	n/a
3487.71533203125	9.10888671875	artefact	n/a	C18	C18	3496.82421875	7142841	7161496	n/a	n/a	n/a	n/a	n/a	n/a
3641.705078125	7.97021484375	artefact	n/a	all	all	3649.67529296875	7458212	7474535	n/a	n/a	n/a	n/a	n/a	n/a
964.6005859375	4.04345703125	eyes	opened	all	all	968.64404296875	1975502	1983783	n/a	n/a	n/a	n/a	n/a	n/a
968.64404296875	2871.48095703125	eyes	closed	all	all	3840.125	1983783	7864576	n/a	n/a	n/a	n/a	n/a	n/a
32.037109375	101.02490234375	sleep-wake transition	unknown	all	all	133.06201171875	65612	272511	n/a	n/a	n/a	n/a	n/a	n/a
133.0830078125	2124.00244140625	sleep	NREM	all	all	2257.08544921875	272554	4622511	n/a	n/a	n/a	n/a	n/a	n/a
2257.1416015625	972.9091796875	sleep	REM	all	all	3230.05078125	4622626	6615144	n/a	n/a	n/a	n/a	n/a	n/a
3230.255859375	609.841796875	sleep	unknown	all	all	3840.09765625	6615564	7864520	n/a	n/a	n/a	n/a	n/a	n/a
1012.0078125	600	sws selection	unknown	all	all	1612.0078125	2072592	3301392	n/a	n/a	n/a	n/a	n/a	n/a
2332.044921875	599.9814453125	rem selection	unknown	all	all	2932.0263671875	4776028	6004790	n/a	n/a	n/a	n/a	n/a	n/a
