name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
Gr16	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr17	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr18	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr19	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr20	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Rst1	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Rst2	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Rst3	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Gr11	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr12	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr13	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr14	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr15	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Rst4	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Rst5	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Rst6	ECOG	µV	538	0.15	G2	strip	2048	n/a	good	included
Gr06	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr07	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr08	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr09	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr10	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Riv1	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
Riv2	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
Riv3	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
Gr01	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr02	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr03	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr04	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Gr05	ECOG	µV	538	0.15	G2	grid	2048	n/a	good	included
Riv4	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
Riv5	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
ECG	ECG	µV	538	0.15	G2	other	2048	n/a	good	not included
D01	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D02	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D03	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D04	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D05	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D06	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D07	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
D08	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el041	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el042	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el043	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el044	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el045	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el046	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el047	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el048	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el049	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el050	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el051	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el052	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el053	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el054	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el055	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el056	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el057	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el058	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el059	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el060	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el061	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el062	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el063	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
el064	OTHER	µV	538	0.15	G2	other	2048	n/a	bad	not recording
