onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
849.1494140625	4.48583984375	artefact	n/a	all	all	853.63525390625	1739058	1748245	n/a	n/a	n/a	n/a	n/a	n/a
853.13916015625	54.80126953125	artefact	n/a	WL07,WL08	WL07,WL08	907.9404296875	1747229	1859462	n/a	n/a	n/a	n/a	n/a	n/a
891.720703125	3.720703125	artefact	n/a	all	all	895.44140625	1826244	1833864	n/a	n/a	n/a	n/a	n/a	n/a
925.81640625	2.376953125	artefact	n/a	all	all	928.193359375	1896072	1900940	n/a	n/a	n/a	n/a	n/a	n/a
980.23486328125	5.74658203125	artefact	n/a	all	all	985.9814453125	2007521	2019290	n/a	n/a	n/a	n/a	n/a	n/a
999.93505859375	13.416015625	artefact	n/a	WL08	WL08	1013.35107421875	2047867	2075343	n/a	n/a	n/a	n/a	n/a	n/a
1055.58349609375	3.18359375	artefact	n/a	all	all	1058.76708984375	2161835	2168355	n/a	n/a	n/a	n/a	n/a	n/a
1064.12109375	14.3671875	artefact	n/a	all	all	1078.48828125	2179320	2208744	n/a	n/a	n/a	n/a	n/a	n/a
1103.7080078125	160.537109375	artefact	n/a	WL07,WL08,XL07	WL07,WL08,XL07	1264.2451171875	2260394	2589174	n/a	n/a	n/a	n/a	n/a	n/a
1103.9765625	17.42626953125	artefact	n/a	all	all	1121.40283203125	2260944	2296633	n/a	n/a	n/a	n/a	n/a	n/a
1150.00244140625	6.03369140625	artefact	n/a	all	all	1156.0361328125	2355205	2367562	n/a	n/a	n/a	n/a	n/a	n/a
1160.78271484375	1.19873046875	artefact	n/a	all	all	1161.9814453125	2377283	2379738	n/a	n/a	n/a	n/a	n/a	n/a
1172.4208984375	4.9404296875	artefact	n/a	all	all	1177.361328125	2401118	2411236	n/a	n/a	n/a	n/a	n/a	n/a
1187.11865234375	9.095703125	artefact	n/a	all	all	1196.21435546875	2431219	2449847	n/a	n/a	n/a	n/a	n/a	n/a
1204.87548828125	6.28466796875	artefact	n/a	all	all	1211.16015625	2467585	2480456	n/a	n/a	n/a	n/a	n/a	n/a
1776.82666015625	40.0205078125	artefact	n/a	WL08	WL08	1816.84716796875	3638941	3720903	n/a	n/a	n/a	n/a	n/a	n/a
1942.3251953125	21.416015625	artefact	n/a	all	all	1963.7412109375	3977882	4021742	n/a	n/a	n/a	n/a	n/a	n/a
1996.05419921875	8.19384765625	artefact	n/a	all	all	2004.248046875	4087919	4104700	n/a	n/a	n/a	n/a	n/a	n/a
2019.7080078125	9.59130859375	artefact	n/a	all	all	2029.29931640625	4136362	4156005	n/a	n/a	n/a	n/a	n/a	n/a
2072.60693359375	18.25341796875	artefact	n/a	WL08	WL08	2090.8603515625	4244699	4282082	n/a	n/a	n/a	n/a	n/a	n/a
2174.4365234375	11.3076171875	artefact	n/a	WL08	WL08	2185.744140625	4453246	4476404	n/a	n/a	n/a	n/a	n/a	n/a
2212.6171875	1.591796875	artefact	n/a	all	all	2214.208984375	4531440	4534700	n/a	n/a	n/a	n/a	n/a	n/a
2237.01025390625	13.5810546875	artefact	n/a	WL08	WL08	2250.59130859375	4581397	4609211	n/a	n/a	n/a	n/a	n/a	n/a
2306.4052734375	1.38525390625	artefact	n/a	all	all	2307.79052734375	4723518	4726355	n/a	n/a	n/a	n/a	n/a	n/a
2316.5966796875	2.37744140625	artefact	n/a	all	all	2318.97412109375	4744390	4749259	n/a	n/a	n/a	n/a	n/a	n/a
2326.27099609375	17.26123046875	artefact	n/a	WL08	WL08	2343.5322265625	4764203	4799554	n/a	n/a	n/a	n/a	n/a	n/a
2649.22216796875	15.6201171875	artefact	n/a	all	all	2664.84228515625	5425607	5457597	n/a	n/a	n/a	n/a	n/a	n/a
2725.15234375	45.4521484375	artefact	n/a	WL07,WL08	WL07,WL08	2770.6044921875	5581112	5674198	n/a	n/a	n/a	n/a	n/a	n/a
3276.09033203125	7.041015625	artefact	n/a	all	all	3283.13134765625	6709433	6723853	n/a	n/a	n/a	n/a	n/a	n/a
3365.54736328125	1.4599609375	artefact	n/a	all	all	3367.00732421875	6892641	6895631	n/a	n/a	n/a	n/a	n/a	n/a
3564.7333984375	4.599609375	artefact	n/a	WL08	WL08	3569.3330078125	7300574	7309994	n/a	n/a	n/a	n/a	n/a	n/a
727.43896484375	86.92333984375	seizure	clin	QL04,QL05,QL06,SL01,TL03,TL04,TL05,TL06,VL01,VL03,VL04,VL05,VL06,VL07,UL03,UL04,UL05,XL01,XL06,YL01,YL02,YL03,YL04,YL05,YL06,YL07	AHL1,AHL2	814.3623046875	1489795	1667814	n/a	n/a	n/a	n/a	n/a	n/a
1266.5009765625	2333.37451171875	sleep-wake transition	unknown	all	all	3599.87548828125	2593794	7372545	n/a	n/a	n/a	n/a	n/a	n/a
0.03857421875	758.17578125	sleep	unknown	all	all	758.21435546875	79	1552823	n/a	n/a	n/a	n/a	n/a	n/a
