name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
PL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL09	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
QL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
QL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
QL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
QL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
QL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
QL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL05	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL06	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL07	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL08	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL09	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
RL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
SL01	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
SL02	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
SL03	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
SL04	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
